name,emotion,chinese
G00009/G00009_42/G00009_42_12/G00009_42_12_050,neutral,[over/]就[/over]你的所有的东西他都[over/]要拿走[/over]。
G00009/G00009_42/G00009_42_12/G00009_42_12_046,surprised,这真[over/]恐怖，你知道吗[/over]？
G00009/G00009_42/G00009_42_12/G00009_42_12_021,neutral,[over/]就他[/over]还会把东西放在你门口。
G00009/G00009_42/G00009_42_12/G00009_42_12_006,neutral,同担是啥？
G00009/G00009_42/G00009_42_12/G00009_42_12_040,fearful,那真够[over/]可怕的[/over]。
G00009/G00009_42/G00009_42_12/G00009_42_12_027,neutral,连着一周给她[over/]点[/over]。
G00009/G00009_42/G00009_42_12/G00009_42_12_010,neutral,[over/]啊，你就是他的[/over]同担。
G00009/G00009_37/G00009_37_12/G00009_37_12_033,fearful,哎现在想想就很后怕这个事儿，[over/]哎[/over]还好还好人没事儿。
G00009/G00009_37/G00009_37_12/G00009_37_12_027,neutral,然后出来的人，然后也帮着其他没出来的[over/]人，然后就在赶紧给他们往出救。就现在[/over]想那场面都后怕。
G00009/G00009_37/G00009_37_12/G00009_37_12_024,neutral,那么多[over/]车全都被全都被堵在底下了[/over]。
G00009/G00009_37/G00009_37_12/G00009_37_12_005,fearful,堵在桥底下了，我就看着那个水一点儿一点儿往上涨，你知道当时我特着急，[over/]当时特着急[/over]，但是刚开始吧，我没想着说水能长到那么高的地方。
G00009/G00009_37/G00009_37_12/G00009_37_12_009,surprised,要不然这堵在外头多麻烦[over/]啊[/over]，我就没想着水淹的事儿，结果水一点儿一点儿往上走，一点儿一点儿往上走。
G00009/G00009_37/G00009_37_12/G00009_37_12_016,fearful,但我当时不知道我赶紧开车门，但是已经被水压挤的那个[over/]车门就已经[/over]完全打不开了，[over/]就已经[/over]完全打不开了。
G00009/G00009_37/G00009_37_12/G00009_37_12_011,fearful,我呃直到到了那个玻璃那块儿，我才看见那个水涨得非常快。
G00009/G00009_37/G00009_37_12/G00009_37_12_019,neutral,正常车上应该备那个[over/]敲窗户的那个锤子[/over]，但是我车上没备那个东西。
G00009/G00009_37/G00009_37_12/G00009_37_12_007,neutral,[over/]是啊[/over]，我没想着说能涨到那么高的地方，我就水稍微上涨一点儿，我就想心想[over/]这车怎么还不走往前[/over]开啊，我好往前走我能赶紧回家。
G00009/G00009_37/G00009_37_12/G00009_37_12_026,fearful,[over/]就很[/over]害怕，然后所有人都把窗户敲破了赶紧的往出走。
G00009/G00009_37/G00009_37_12/G00009_37_12_013,fearful,到玻璃了涨得非常快，就这时候我在想着我要开车门，因为我没这个经验后来[over/]我才知道[/over]说不能开[over/]车门得得赶紧[/over]敲那个车窗。
G00009/G00009_37/G00009_37_12/G00009_37_12_001,surprised,前两天不是大雨吗？
G00009/G00009_37/G00009_37_12/G00009_37_12_022,angry,我当时就害怕我说赶紧吧，我就有什么拿什么，我有一个那个不锈钢的一个杯子。
G00009/G00009_37/G00009_37_12/G00009_37_12_030,fearful,[over/]就是如果啊[/over]，我们敲窗户要是再晚那么一点儿，[over/]那可能人就出不来了对人就出不[/over]来了。那水压可能[over/]太大了就一下[/over]就不行了。
G00009/G00009_37/G00009_37_12/G00009_37_12_003,neutral,你知道下大雨那天我在哪儿？我正好在外边儿，我那天没在家里，我正开着车呢，停在那个桥底下。
G00009/G00009_37/G00009_37_12/G00009_37_12_023,neutral,我赶紧我就拿它敲那个窗[over/]户[/over]，最后好在是把窗户给敲碎了人爬出来，因为当时不光我一辆车被堵在下边儿了。
G00009/G00009_37/G00009_37_14/G00009_37_14_020,angry,[over/]敲的那个锤，嗯嗯[/over]。
G00009/G00009_37/G00009_37_14/G00009_37_14_021,surprised,那咋整啊？
G00009/G00009_37/G00009_37_14/G00009_37_14_015,neutral,[over/]你一开车门[interrupted][/over]。
G00009/G00009_37/G00009_37_14/G00009_37_14_008,neutral,[over/]还好[/over]，嗯，还[over/]不往前走[/over]。
G00009/G00009_37/G00009_37_14/G00009_37_14_006,fearful,谁也没想到这雨下的那么大[over/]呀[/over]。
G00009/G00009_37/G00009_37_14/G00009_37_14_017,fearful,[over/]开不开了[/over]。
G00009/G00009_37/G00009_37_14/G00009_37_14_012,surprised,到玻璃啦？
G00009/G00009_37/G00009_37_14/G00009_37_14_025,neutral,[over/]大家都在底下呢呀？而且在桥底下[/over]本来就是低水[over/]区域呀[/over]。
G00009/G00009_37/G00009_37_14/G00009_37_14_031,neutral,[over/]你就完全就完全就淹上了呀[/over]。
G00009/G00009_37/G00009_37_14/G00009_37_14_028,neutral,[over/]先救出来啊[/over]。
G00009/G00009_37/G00009_37_14/G00009_37_14_029,fearful,[over/]太吓人了[/over]！
G00009/G00009_12/G00009_12_14/G00009_12_14_015,neutral,然后这个时候我们一看，好像少了点儿谁[interrupted]。
G00009/G00009_12/G00009_12_14/G00009_12_14_012,angry,因为它就是选的是[over/]那种好好多发的那种，各种各样的花[/over]。然后呢，从头到尾能有那么个十几种不同的[over/]变化[/over]。
G00009/G00009_12/G00009_12_14/G00009_12_14_027,neutral,然后以至于我们这个全程没有一个记录，但是特别的[over/]好看[/over]。
G00009/G00009_12/G00009_12_14/G00009_12_14_025,neutral,然后他们才发现啊，放烟花了，然后还是我们自己组放烟[over/]花[/over]。
G00009/G00009_12/G00009_12_14/G00009_12_14_019,happy,啊，我刚来，我这个一点儿都没有拍着，怎么办？然后就是，他是那个本来就[laughing][over/]他就是[/over]太激动了，那个制作人太激动了。
G00009/G00009_12/G00009_12_14/G00009_12_14_003,neutral,但是因为平时咱们不是在像北京上海这种大城市，对[over/]咱们都看不到[/over]。然后当时我们去那个鄯县的[over/]时候[/over]，它那里就是随便可以放[over/]烟花什么的[/over]。
G00009/G00009_12/G00009_12_14/G00009_12_14_001,surprised,我当时[over/]不是[/over]去那个鄯县拍戏吗，[over/]你知道鄯县吗[/over]？嗯对，然后咱们拍戏不都是喜欢去什么放烟花呀，[over/]什么什么这种[/over]。
G00009/G00009_12/G00009_12_14/G00009_12_14_010,happy,[over/]在路中间[laughing][/over]在路中间儿，巨那什么巨壮观。然后他摆了十个那种大的礼[over/]花[/over]，然后这一气全点了，你知道吗，巨好看。然后呢，当时整个半边天儿都亮了。
G00009/G00009_12/G00009_12_14/G00009_12_14_008,happy,然后就[over/]稍微[/over]挡着了一点儿，就告诉大家这边有那个什么，[over/]然后[/over]他就排了十个那个大的那种烟花[interrupted]。
G00009/G00009_12/G00009_12_14/G00009_12_14_026,neutral,然后我是那个纪录片儿，拍那个测拍的那个[over/]纪录片儿[/over]。然后没有人叫我，然后制作人就说啊，我那个有点激动[over/]忘了，忘把[/over]你们给叫起来了。
G00009/G00009_12/G00009_12_14/G00009_12_14_017,surprised,然后少了点儿那个测拍的[over/]那个[/over]那些人。说人呢，这些老师们去[over/]哪了[/over]？然后这时候就看那个酒店大堂的门开了，然后那几个人跑出来说，啊烟花呢烟花呢？我们说啊，放[over/]完了[/over]。
G00009/G00009_12/G00009_12_14/G00009_12_14_005,neutral,然后那天制作人就说，悄悄悄悄地把我们所有人的带叫过来[over/]了[/over]。也不是所有人吧，就大部分人，就谁还醒着[/over]谁就叫过来了[interrupted][over/]。
G00009/G00009_12/G00009_12_14/G00009_12_14_029,happy,[over/]对，然后全在那个绚烂的那一线，大家所有人在那准备就是开心的那种感觉[/over]。
G00009/G00009_12/G00009_12_14/G00009_12_14_021,neutral,[over/]没有[/over]，他们在楼上睡觉，[over/]没人告诉他[/over]。
G00009/G00009_12/G00009_12_14/G00009_12_14_007,neutral,[over/]大家大晚上[/over]，然后说走，放放烟花去。我说去哪放？他说[over/]就[/over]在楼下。然后你知道吗，晚上不是路上没[over/]车吗[/over]，他他就把车停到了另外一边儿。
G00009/G00009_12/G00009_12_12/G00009_12_12_004,fearful,[over/]对看不到，嗯嗯嗯[/over]。
G00009/G00009_12/G00009_12_12/G00009_12_12_009,neutral,在路[over/]中间吗，在路中间儿[/over]？
G00009/G00009_12/G00009_12_12/G00009_12_12_022,surprised,[over/]哦，这等于[/over]放完的时候给他们吵醒了。
G00009/G00009_12/G00009_12_12/G00009_12_12_014,neutral,[over/]不一样的啊[/over]。
G00009/G00009_12/G00009_12_12/G00009_12_12_002,neutral,[over/]嗯嗯嗯我知道[/over]，[over/]嗯嗯嗯[/over]。
G00009/G00009_12/G00009_12_12/G00009_12_12_011,happy,[over/]嗯嗯我知道[/over]。
G00009/G00009_12/G00009_12_12/G00009_12_12_006,surprised,[over/]大晚上[/over]？
G00009/G00009_12/G00009_12_12/G00009_12_12_028,happy,[over/]啊，因为[/over]主要还是停留在那一刻，就全是[over/]花儿啊。嗯就那种美好啊，对[/over]，而且所有人都聚在一起。
G00009/G00009_12/G00009_12_12/G00009_12_12_018,happy,[over/]放完了[/over]。
G00009/G00009_12/G00009_12_12/G00009_12_12_020,neutral,他们是回去取手机[over/]去了吗[/over]？
G00009/G00009_12/G00009_12_12/G00009_12_12_013,happy,[over/]好多花儿啊，然后嗯嗯嗯[/over]。
G00009/G00009_43/G00009_43_12/G00009_43_12_020,angry,[over/]什么[/over]叫来晚？这是我的地方，我就应该用。这不是你的地方，你就应该把你的东西拿走，听明白了吗？
G00009/G00009_43/G00009_43_12/G00009_43_12_011,angry,[over/]哦，这[/over]全像你这么不讲理啊。
G00009/G00009_43/G00009_43_12/G00009_43_12_005,disgusted,[over/]那画着[/over]线呢，一人一格儿，这道理不[over/]懂吗[/over]？
G00009/G00009_43/G00009_43_12/G00009_43_12_024,angry,[over/]我[/over]跟人家说不着，人家没占我地方儿，[over/]谁占我[/over]地方，我跟谁说。
G00009/G00009_43/G00009_43_12/G00009_43_12_026,disgusted,[over/]哎，行行行行行，咱咱俩[/over]不争了，咱俩不争了。咱俩去找那个[over/]那个管事儿的，行不行[/over]？
G00009/G00009_43/G00009_43_12/G00009_43_12_003,disgusted,[over/]什么叫[/over]写不写我名字？每天摊位画着线呢，看不见[over/]呀[/over]？
G00009/G00009_43/G00009_43_12/G00009_43_12_028,angry,[over/]嗯，那怎么就不讲[/over]理呗？
G00009/G00009_43/G00009_43_12/G00009_43_12_007,disgusted,[over/]你[/over]占你的那格儿，你怎么？哎，这边儿这芹菜是不是你的，为什么放我这儿？
G00009/G00009_43/G00009_43_12/G00009_43_12_009,disgusted,哦，那我也占人家的啊？
G00009/G00009_43/G00009_43_12/G00009_43_12_029,angry,[over/]什[/over]什么，哎什么叫我什么态度？你占我地儿了，[over/]好不好[/over]？
G00009/G00009_43/G00009_43_12/G00009_43_12_022,disgusted,[over/]你放不下，你[/over]乐意放哪儿放哪儿？跟我没有关系。
G00009/G00009_43/G00009_43_12/G00009_43_12_015,angry,[over/]你先放，你就对呀，你[/over]先放就对，是吗？
G00009/G00009_43/G00009_43_12/G00009_43_12_001,disgusted,哎哎哎哎哎，来的早，就能随便放东西，占我摊位了，知道吗？
G00009/G00009_43/G00009_43_12/G00009_43_12_019,angry,[over/]这是我[/over]的地方，[over/]知道，什么叫来晚了[/over]？
G00009/G00009_43/G00009_43_12/G00009_43_12_031,angry,[over/]你好好儿说话[/over]，什么叫我卖呀？
G00009/G00009_43/G00009_43_12/G00009_43_12_017,neutral,[over/]你管超过多少[/over]，超过多少，不是超[over/]啊[/over]？
G00009/G00009_43/G00009_43_12/G00009_43_12_013,neutral,[over/]你[/over]就是不讲理，你就应该是在线里头啊。
G00009/G00009_43/G00009_43_14/G00009_43_14_006,neutral,[over/]我占[/over]我的这格儿，没问题[over/]啊[/over]。
G00009/G00009_43/G00009_43_14/G00009_43_14_004,angry,[over/]画[/over]着线呢，那上面是不是没有规定，谁一定要在哪一个。[over/]我今天就摆[interrupted][/over]。
G00009/G00009_43/G00009_43_14/G00009_43_14_018,disgusted,[over/]你[/over]自己你[over/]自己来晚了，你自己来晚了，你[/over]来晚了，怎么着[over/]吧[/over]？
G00009/G00009_43/G00009_43_14/G00009_43_14_027,angry,[over/]这有什么好找的，谁[/over]跟你去啊？你没有生意，我还有生意的啊，[over/]我没时间跟你在这儿[/over]。我怎么不讲理了，是你先不来不讲理的，你什么态[over/]度啊而且[/over]。
G00009/G00009_43/G00009_43_14/G00009_43_14_030,disgusted,我占你地儿，你今天啊，在这儿卖，你就卖不好了，你赶紧去别的地方卖吧就。
G00009/G00009_43/G00009_43_14/G00009_43_14_008,surprised,哎，多一点儿能怎么啊？你看旁边儿叔，你看我旁边还占我一格呢，大家不都是这样吗？你那边儿不是多了去了位置吗？
G00009/G00009_43/G00009_43_14/G00009_43_14_014,neutral,我先放在这儿了，[over/]我放在这儿离线，我[interrupted][/over]。
G00009/G00009_43/G00009_43_14/G00009_43_14_021,disgusted,我这边儿放不下了，你让我放哪儿啊？放前面呀，[over/]那就出去了[/over]。
G00009/G00009_43/G00009_43_14/G00009_43_14_002,angry,怎么着，上面写你名字了？我[over/]先来的[/over]。
G00009/G00009_43/G00009_43_14/G00009_43_14_016,neutral,我离线也没有很超很多吧，我就超[over/]了那么两厘米[/over]。
G00009/G00009_43/G00009_43_14/G00009_43_14_012,angry,我哪儿不在，我哪里不讲理[over/]了[/over]？
G00009/G00009_43/G00009_43_14/G00009_43_14_010,angry,你占呗，[over/]占[/over]。
G00009/G00009_43/G00009_43_14/G00009_43_14_032,angry,我怎么不好好说话了啊？是你自己不好好说话。
G00009/G00009_43/G00009_43_14/G00009_43_14_025,neutral,[over/]你跟[/over]你跟人家说你往那边窜窜怎[over/]么了？这点儿东西你还[interrupted][/over]。
G00009/G00009_43/G00009_43_14/G00009_43_14_023,angry,你自己再跟那边儿，跟旁边的人说。旁边你看那个摊位，他也放不满，那个小东[over/]西[/over]。
G00009/G00009_16/G00009_16_14/G00009_16_14_012,happy,我给了三刀吧，[over/]三四刀。挺多[/over]的了其实。
G00009/G00009_16/G00009_16_14/G00009_16_14_039,disgusted,谁没事给他带那么多现金给他呀，然后，然后你不给钱，他又不让你走。
G00009/G00009_16/G00009_16_14/G00009_16_14_014,fearful,然后他说不行，那个你得，拍一张照片得五十刀。
G00009/G00009_16/G00009_16_14/G00009_16_14_010,neutral,他们说[over/]不行[/over]。
G00009/G00009_16/G00009_16_14/G00009_16_14_005,neutral,然后呢我们就说，诶还挺好[over/]玩儿的[/over]，让大家看。然后呢有一个，当时是玛丽莲梦[over/]露吧[/over]，打扮得特别好看，然后她那个裙子也弄得非常的好。
G00009/G00009_16/G00009_16_14/G00009_16_14_022,disgusted,然后呢他就不，不行。这是个他说这是规矩，整条街上都是这样子。
G00009/G00009_16/G00009_16_14/G00009_16_14_003,neutral,然后在那个星光大道上，[over/]有[/over]很多那种打扮的，它cosplay的真的很好的[over/]那些[/over]。然后有很多，因为星光大道本来不就是关于电影[over/]的吗[/over]？然后它有很多那种电影的经典人物。
G00009/G00009_16/G00009_16_14/G00009_16_14_024,sad,然后他问题是他们这些[interrupted]。
G00009/G00009_16/G00009_16_14/G00009_16_14_030,disgusted,然后呢，我们说你之前自己说你只要小[over/]费的呀[/over]，我们[over/]小费该给的也给了[/over]。
G00009/G00009_16/G00009_16_14/G00009_16_14_016,disgusted,拍一张照片都五十刀，[over/]我说[/over]我五十刀？
G00009/G00009_16/G00009_16_14/G00009_16_14_033,disgusted,[over/]啊，他们逼着你给[/over]。他们会冲的过来，[over/]就是走到你旁边儿，强行把他搂[/over]住，然后他说拍一张照。
G00009/G00009_16/G00009_16_14/G00009_16_14_037,fearful,[over/]对对对，对对对[/over]。然后完了就拍张[over/]照[/over]，然后就大家就拍一张，就想想的可能就只是热情[over/]或是怎么样[/over]。然后没想到他最后，哎还要收[over/]钱[/over]。然后你也不好也，而且他还要现金。
G00009/G00009_16/G00009_16_14/G00009_16_14_029,neutral,[over/]他才跟你说这个事儿[/over]。[over/]对[/over]，然后完了他要假装，他们刚开始引用你来拍照的[over/]时候[/over]，那个感觉就很像是免费拍。[over/]我只是[/over]在这，你给我点小费就好了，他说就only tips就够了。
G00009/G00009_16/G00009_16_14/G00009_16_14_041,neutral,然后呢，因为他们[over/]全是他们的人，就硬拦着[/over]，全是他们的人。
G00009/G00009_16/G00009_16_14/G00009_16_14_018,angry,为什么呀？凭什么呀？我只是给你拍了一下，[over/]我又没用你[/over]的相机去拍。然后我又没让你洗出来给我或者怎么样。
G00009/G00009_16/G00009_16_14/G00009_16_14_026,neutral,他不说。
G00009/G00009_16/G00009_16_14/G00009_16_14_001,neutral,当时上大学的[over/]时候[/over]，[over/]然后那[/over]种周末不是有的时候，我们会去洛杉矶玩儿吗，然后那是我第一次去洛杉矶[over/]那边玩儿[/over]。
G00009/G00009_16/G00009_16_14/G00009_16_14_031,angry,然后呢完了现在你跟我们说要[over/]五十刀[/over]。然后最主要的是他们这些，在那个上面这些人啊，他们还有点强买强卖的[over/]感觉[/over]。
G00009/G00009_16/G00009_16_14/G00009_16_14_006,disgusted,然后结果呢，我们就说，我们给她拍张照。
G00009/G00009_16/G00009_16_14/G00009_16_14_028,fearful,[over/]就是就是不说[/over]，对。
G00009/G00009_16/G00009_16_14/G00009_16_14_020,neutral,我只是就是给你拍了一下，我[over/]拿我自己手机拍[/over]，我也该给你小费，给了吧。
G00009/G00009_16/G00009_16_14/G00009_16_14_008,neutral,然后好，拍了一张，我们就准备走。我们说先谢谢，给点小费就准备走。[over/]然后你知[/over]道，你当时人家就说，你[over/]不能走[/over]。我说为啥不能走？他说你拍照了，你得给钱。我说我给你小费了呀。
G00009/G00009_16/G00009_16_14/G00009_16_14_035,neutral,然后呢有些你知道有些外国人，就像中国人就不好意思[over/]拒绝吗[/over]，他把你都搂住了，说一起拍张照吧。
G00009/G00009_16/G00009_16_14/G00009_16_14_045,disgusted,就是纯耍流氓，他们就仗着自己的[over/]这个优势[/over]在那。
G00009/G00009_16/G00009_16_14/G00009_16_14_043,angry,[over/]你就[/over]只能给你不给的话，他们就在这闹。
G00009/G00009_16/G00009_16_12/G00009_16_12_027,neutral,对，他他[over/]就不说，他就等着你拍[/over]。他就等着你拍，等你拍了之后，[over/]然后他再告诉你[/over]，你必须得给钱。
G00009/G00009_16/G00009_16_12/G00009_16_12_025,neutral,他也没提前说清楚。
G00009/G00009_16/G00009_16_12/G00009_16_12_042,neutral,[over/]就硬拦着你，嗯[/over]。那最后就得最后你给[over/]了吗[/over]。
G00009/G00009_16/G00009_16_12/G00009_16_12_032,neutral,[over/]对，他[/over]就逼着你，[over/]必须得给[/over]。
G00009/G00009_16/G00009_16_12/G00009_16_12_036,fearful,而且再加上他还有那种，就是之后拍完照[over/]之后有半威胁的现象[/over]。
G00009/G00009_16/G00009_16_12/G00009_16_12_021,happy,[over/]嗯嗯嗯[/over]。
G00009/G00009_16/G00009_16_12/G00009_16_12_019,neutral,[over/]啊啊啊[/over]。
G00009/G00009_16/G00009_16_12/G00009_16_12_013,surprised,[over/]三刀啊[/over]。[over/]啊啊啊[/over]。
G00009/G00009_16/G00009_16_12/G00009_16_12_017,surprised,[over/]五十刀啊[/over]。
G00009/G00009_16/G00009_16_12/G00009_16_12_038,neutral,嗯，啊。
G00009/G00009_16/G00009_16_12/G00009_16_12_044,disgusted,对，就就没办法，就是耍流氓。
G00009/G00009_16/G00009_16_12/G00009_16_12_034,neutral,[over/]对对对，我很理解这东西[/over]。
G00009/G00009_16/G00009_16_12/G00009_16_12_015,surprised,五十拍一张啊！
G00009/G00009_16/G00009_16_12/G00009_16_12_007,happy,嗯嗯嗯。
G00009/G00009_16/G00009_16_12/G00009_16_12_011,fearful,[over/]你给[/over]了多少？
G00009/G00009_07/G00009_07_12/G00009_07_12_008,sad,对[over/]对对，就一点点啊小东[/over]西啊，一个这么大的，两个[over/]这么大的也就完了[/over]。
G00009/G00009_07/G00009_07_12/G00009_07_12_003,neutral,[over/]啊[/over]我有一些戏他们没看上那些戏，他们准备的物[over/]料啊[/over]，花儿[over/]设计等的[/over]的全带上了，[over/]然后那天[/over]然后他们提前通过那个社交网站。
G00009/G00009_07/G00009_07_12/G00009_07_12_010,neutral,然后等到演出结束之后，我也不知道他们从哪儿掏出了一大堆。
G00009/G00009_07/G00009_07_12/G00009_07_12_011,angry,就弄的那个SB口儿那儿，他们就摆在地上了，你[over/]知道嘛，摆在地上[/over]，全是从这儿一直铺到那儿铺了一片。
G00009/G00009_07/G00009_07_12/G00009_07_12_014,neutral,我说好啊，谢谢，谢谢，我当时心里想的是我今天可没[over/]开车[/over]。
G00009/G00009_07/G00009_07_12/G00009_07_12_006,neutral,见着面，他们东西还都先没掏出[over/]来呢[/over]，我就以为啊，那也没[over/]什么[interrupted][/over]。
G00009/G00009_07/G00009_07_12/G00009_07_12_001,neutral,你知道前两天十一的时候，[over/]十[/over]一统共七天，然后演了十几场出嘛。
G00009/G00009_07/G00009_07_12/G00009_07_12_020,neutral,然后我又找了两个工作人员，然后帮我抬到路口，我打车回去的那天。然后打车回去，到家了以后我都得一个一个的先搬到地上，我师傅您稍等一下[over/]我一个一个搬[/over][laughing]。
G00009/G00009_07/G00009_07_12/G00009_07_12_005,neutral,给我发啊，说那个让我提前带个大点儿的包，我就我说我说行好，我说我记住了，结果当天到那之后见着面。
G00009/G00009_07/G00009_07_12/G00009_07_12_025,neutral,[over/]没有[/over]，没有，没有[laughing]。
G00009/G00009_07/G00009_07_12/G00009_07_12_018,neutral,[over/]我要了三个纸箱子[/over]，然后我抱着一，我只能抱一个[over/]纸箱，然[/over]后我又找了两个工作人员，因为其他演员也被其他的[over/]观众拦着呢[/over]。
G00009/G00009_07/G00009_07_12/G00009_07_12_002,neutral,其中有一天有一场演出，就观众有一些观众他们特意就是想来看，然后把之前准备的。
G00009/G00009_07/G00009_07_12/G00009_07_12_016,sad,我没开车，我怎么拿回去？我赶紧我问剧场的人。[over/]我[/over]要了三个纸箱子。
G00009/G00009_07/G00009_07_12/G00009_07_12_023,happy,[over/]对[/over]，然后我还得让保安给我送到那个楼[over/]底下楼[/over]门口儿。[/over]我说[/over]帮我个忙儿[laughing]。
G00009/G00009_07/G00009_07_14/G00009_07_14_017,surprised,我[over/]去，这么多[interrupted][/over]。
